well_id,well,dt
1,349-U1431E,0.0254
2,349-U1433B,0.1524
3,353-U1445A,0.1524
4,355-U1456C,0.1524
5,356-U1459C,0.1524
6,356-U1461D,0.1524
7,356-U1462A,0.1524
8,356-U1463B,0.1524
9,356-U1464C,0.1524
10,359-U1466B,0.1524
11,359-U1467C,0.1524
12,359-U1468B,0.15239999999999998
13,359-U1471E,0.1524
14,367-U1499B,0.1524
15,367-U1500B,0.1524
16,368-U1501D,0.1524
17,368-U1502B,0.1524
18,368-U1505C,0.1524
19,369-U1512A,0.15239999999999998
20,369-U1513D,0.1524
21,375-U1520C,0.15239999999999998
22,392-U1579D,0.15239999999999998
23,392-U1580A,0.1524
